2026-01-12 20:57:06, 249.0
2026-01-12 21:02:00, 249.0
2026-01-12 21:03:11, 249.0
2026-01-12 21:04:16, 249.0
2026-01-12 21:05:26, 249.0
2026-01-12 21:06:31, 249.0
2026-01-12 21:07:36, 249.0
2026-01-12 21:08:41, 249.0
2026-01-12 21:09:46, 249.0
2026-01-12 21:10:51, 249.0
2026-01-12 21:11:55, 249.0
2026-01-12 21:13:00, 249.0
2026-01-12 21:14:05, 249.0
2026-01-12 21:15:11, 249.0
2026-01-12 21:16:21, 249.0
2026-01-12 21:17:26, 249.0
2026-01-12 21:18:31, 249.0
2026-01-12 21:19:36, 249.0
2026-01-12 21:20:41, 249.0
2026-01-12 21:21:46, 249.0
2026-01-12 21:22:51, 249.0
2026-01-12 21:23:55, 249.0
2026-01-12 21:25:01, 249.0
2026-01-12 21:26:06, 249.0
2026-01-12 21:27:12, 249.0
2026-01-12 21:28:17, 249.0
2026-01-12 21:29:22, 249.0
2026-01-12 21:30:32, 249.0
2026-01-12 21:31:42, 249.0
2026-01-12 21:32:46, 249.0
2026-01-12 21:33:57, 249.0
2026-01-12 21:35:01, 249.0
2026-01-12 21:36:07, 249.0
2026-01-12 21:37:17, 249.0
2026-01-12 21:38:27, 249.0
2026-01-12 21:39:32, 249.0
2026-01-12 21:40:42, 249.0
2026-01-12 21:41:47, 249.0
2026-01-12 21:42:52, 249.0
2026-01-12 21:43:57, 249.0
2026-01-12 21:45:02, 249.0
2026-01-12 21:46:07, 249.0
2026-01-12 21:47:17, 249.0
2026-01-12 21:48:28, 249.0
2026-01-12 21:49:38, 249.0
2026-01-12 21:50:42, 249.0
2026-01-12 21:51:47, 249.0
2026-01-12 21:52:57, 249.0
2026-01-12 21:54:03, 249.0
2026-01-12 21:55:07, 249.0
2026-01-12 21:56:12, 249.0
2026-01-12 21:57:17, 249.0
2026-01-12 21:58:22, 249.0
2026-01-12 21:59:27, 249.0
2026-01-12 22:00:31, 249.0
2026-01-12 22:01:36, 249.0
2026-01-12 22:02:46, 249.0
2026-01-12 22:03:51, 249.0
2026-01-12 22:04:56, 249.0
2026-01-12 22:06:01, 249.0
2026-01-12 22:07:06, 249.0
2026-01-12 22:08:10, 249.0
2026-01-12 22:09:15, 249.0
2026-01-12 22:10:20, 249.0
2026-01-12 22:11:25, 249.0
